"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"45","000760","이화산업",16000,-100,-0.62,"KOSPI","유통업",4.48e+10,16817,0.95,NA,NA,52259,0.31,0,0
"46","000815","삼성화재우",158000,-1000,-0.63,"KOSPI","보험",5.04336e+11,NA,NA,NA,NA,NA,NA,12005,7.6
"47","000850","화천기공",34300,-100,-0.29,"KOSPI","기계",7.546e+10,4233,8.1,NA,NA,140159,0.24,1000,2.92
"48","000860","강남제비스코",23650,150,0.64,"KOSPI","화학",1.53725e+11,6948,3.4,NA,NA,90881,0.26,500,2.11
"49","000885","한화우",37350,0,0,"KOSPI","화학",17901630900,NA,NA,NA,NA,NA,NA,800,2.14
"50","00088K","한화3우B",15750,200,1.29,"KOSPI","화학",3.53934e+11,NA,NA,NA,NA,NA,NA,800,5.08
"51","000890","보해양조",775,0,0,"KOSPI","음식료품",107818099975,NA,NA,NA,NA,611,1.27,0,0
"52","000910","유니온",6390,-140,-2.14,"KOSPI","비금속광물",99758245410,564,11.33,NA,NA,8391,0.76,125,1.96
"53","000950","전방",54000,-1100,-2,"KOSPI","섬유의복",9.072e+10,140,385.71,NA,NA,126397,0.43,0,0
"54","000970","한국주철관",8270,-150,-1.78,"KOSPI","철강금속",188560135000,3055,2.71,NA,NA,15753,0.52,400,4.84
"55","000990","DB하이텍",41850,-1200,-2.79,"KOSPI","전기전자",1858080907800,7292,5.74,13725,3.05,25449,1.64,450,1.08
"56","000995","DB하이텍1우",74100,-2900,-3.77,"KOSPI","전기전자",8322615600,NA,NA,NA,NA,NA,NA,500,0.67
"57","001000","신라섬유",2115,140,7.09,"KOSDAQ","유통",51346997100,28,75.54,NA,NA,634,3.34,0,0
"58","001020","페이퍼코리아",1760,0,0,"KOSPI","종이목재",83717585600,240,7.33,NA,NA,1111,1.58,0,0
"59","001040","CJ",80100,-400,-0.5,"KOSPI","기타금융",2337077539800,8197,9.77,10844,7.39,151085,0.53,2300,2.87
"60","001045","CJ우",49500,100,0.2,"KOSPI","기타금융",111881038500,NA,NA,NA,NA,NA,NA,2350,4.75
"61","00104K","CJ4우(전환)",71400,-900,-1.24,"KOSPI","기타금융",301772956800,NA,NA,NA,NA,NA,NA,2350,3.29
"62","001060","JW중외제약",23750,-200,-0.84,"KOSPI","의약품",526729423750,NA,NA,2100,11.31,8650,2.75,325,1.37
"63","001065","JW중외제약우",36100,-550,-1.5,"KOSPI","의약품",6596733500,NA,NA,NA,NA,NA,NA,350,0.97
"64","001067","JW중외제약2우B",70000,-700,-0.99,"KOSPI","의약품",7204890000,NA,NA,NA,NA,NA,NA,325,0.46
"65","001070","대한방직",52200,100,0.19,"KOSPI","섬유의복",2.7666e+11,433,120.55,NA,NA,38608,1.35,0,0
"66","001130","대한제분",142500,-1000,-0.7,"KOSPI","음식료품",2.40825e+11,52446,2.72,NA,NA,534606,0.27,2500,1.75
"67","001140","국보",1065,5,0.47,"KOSPI","운수창고업",84540529635,NA,NA,NA,NA,477,2.23,0,0
"68","001200","유진투자증권",2885,-45,-1.54,"KOSPI","증권",279459615930,966,2.99,NA,NA,10239,0.28,140,4.85
"69","001210","금호전기",1400,0,0,"KOSPI","전기전자",34084667400,NA,NA,NA,NA,1541,0.91,0,0
"70","001260","남광토건",11400,450,4.11,"KOSPI","건설업",112050759600,2208,5.16,NA,NA,8935,1.28,0,0
